T,Time,Avg,Acceleration
1,6223.45,406.74,1.00
2,5253.42,217.65,1.87
3,4892.34,147.67,2.75
4,4778.26,119.56,3.40
5,4598.87,93.59,4.35
6,4536.81,77.72,5.23
7,4469.95,68.73,5.92
8,4454.17,65.33,6.23
9,4472.12,66.64,6.10
10,4371.43,60.07,6.77
11,4378.22,54.80,7.42
12,4337.43,50.36,8.08
13,4325.53,46.85,8.68
14,4330.42,43.53,9.34
15,4412.73,40.71,9.99
16,4319.75,38.57,10.55
17,4376.00,36.39,11.18
18,4411.95,34.67,11.73
19,4287.57,33.00,12.33
20,4196.81,31.76,12.81
21,4269.30,30.96,13.14
22,4337.53,29.73,13.68
23,4300.06,28.42,14.31
24,4182.47,27.67,14.70
25,4226.26,28.47,14.29
26,4178.39,27.77,14.65
27,4197.30,27.00,15.06
28,4202.30,28.29,14.38
29,4260.72,29.97,13.57
30,4211.06,30.37,13.39
31,4187.13,30.20,13.47
32,4152.62,29.97,13.57
33,4151.41,29.95,13.58
34,4112.06,31.18,13.04
35,4142.65,30.66,13.27
36,4139.53,31.92,12.74
37,4170.65,33.77,12.05
38,4185.80,34.50,11.79
39,4313.75,35.40,11.49
40,4212.33,35.34,11.51
41,4427.80,36.86,11.03
42,4287.08,35.20,11.55
43,4344.02,37.14,10.95
44,4280.72,36.20,11.24
45,4300.05,36.37,11.18
46,4346.90,36.56,11.13
47,4280.48,36.11,11.26
48,4288.96,37.36,10.89
