T,Time,Avg,Acceleration
1,6218.53,417.37,1.00
2,5325.30,230.10,1.81
3,4997.24,177.62,2.35
4,4918.55,157.02,2.66
5,4895.98,155.10,2.69
6,5050.71,160.61,2.60
7,5030.96,163.76,2.55
8,4992.07,149.88,2.78
9,4957.19,158.91,2.63
10,4877.01,162.50,2.57
11,4944.35,171.47,2.43
12,4813.21,170.87,2.44
13,4850.35,164.31,2.54
14,4933.39,167.40,2.49
15,4873.30,156.64,2.66
16,4748.39,148.55,2.81
17,4713.96,154.15,2.71
18,4773.43,150.40,2.77
19,4716.95,140.89,2.96
20,4818.28,129.51,3.22
21,4690.83,109.66,3.81
22,4638.16,105.94,3.94
23,4636.71,107.85,3.87
24,4658.39,120.90,3.45
25,4682.47,117.24,3.56
26,4660.12,116.13,3.59
27,4618.93,127.41,3.28
28,4597.82,114.11,3.66
29,4696.34,112.09,3.72
30,4521.17,109.85,3.80
31,4525.67,106.07,3.93
32,4735.60,101.34,4.12
33,4617.94,108.92,3.83
34,4736.71,138.12,3.02
35,4695.50,129.30,3.23
36,4525.85,103.58,4.03
37,4461.30,106.36,3.92
38,4569.46,122.53,3.41
39,4605.89,98.43,4.24
40,4498.84,102.69,4.06
41,4485.45,103.24,4.04
42,4441.11,94.32,4.43
43,4534.10,104.10,4.01
44,4543.80,99.93,4.18
45,4473.23,91.41,4.57
46,4611.54,116.89,3.57
47,4715.50,112.16,3.72
48,4851.72,126.86,3.29
