T,Time,Avg,Acceleration
1,6221.43,405.21,1.00
2,5286.72,234.58,1.73
3,5057.83,180.41,2.25
4,4900.76,157.07,2.58
5,4911.27,154.32,2.63
6,4919.43,158.91,2.55
7,4917.04,161.42,2.51
8,4878.93,153.87,2.63
9,4902.35,158.06,2.56
10,4994.48,158.91,2.55
11,5016.43,172.51,2.35
12,5054.64,187.72,2.16
13,4856.41,169.44,2.39
14,4879.66,179.28,2.26
15,4860.62,165.79,2.44
16,4888.08,149.80,2.71
17,4908.24,147.29,2.75
18,4758.10,141.18,2.87
19,4729.52,136.47,2.97
20,4822.00,139.63,2.90
21,4579.57,115.23,3.52
22,4640.11,106.30,3.81
23,4553.97,109.87,3.69
24,4663.89,119.35,3.40
25,4648.11,115.29,3.51
26,4759.65,116.06,3.49
27,4548.72,114.16,3.55
28,4610.31,114.31,3.54
29,4599.12,110.96,3.65
30,4545.55,109.83,3.69
31,4695.37,117.03,3.46
32,4519.23,106.11,3.82
33,4570.95,113.01,3.59
34,4580.70,112.86,3.59
35,4584.62,109.77,3.69
36,4612.97,115.08,3.52
37,4539.57,100.27,4.04
38,4547.34,101.20,4.00
39,4503.30,100.03,4.05
40,4544.46,107.53,3.77
41,4690.03,134.38,3.02
42,4490.26,97.21,4.17
43,4568.97,103.24,3.92
44,4574.17,107.69,3.76
45,4494.28,90.87,4.46
46,4520.77,93.83,4.32
47,4632.98,120.68,3.36
48,4833.77,130.86,3.10
