T,Time,Avg,Acceleration
1,5216.39,1038.93,1.00
2,2911.18,579.38,1.79
3,2651.47,527.42,1.97
4,2110.81,419.26,2.48
5,2042.30,405.12,2.56
6,1684.33,333.52,3.12
7,1583.27,313.43,3.31
8,1443.53,285.42,3.64
9,1462.33,289.02,3.59
10,1195.76,235.86,4.40
11,1232.43,243.09,4.27
12,1190.59,234.70,4.43
13,1151.60,227.02,4.58
14,1140.00,224.65,4.62
15,1067.60,209.92,4.95
16,1046.17,205.74,5.05
17,1091.61,215.13,4.83
18,1072.96,211.31,4.92
19,1053.06,207.30,5.01
20,1071.87,210.36,4.94
21,1017.70,200.03,5.19
22,963.66,188.69,5.51
23,968.53,189.60,5.48
24,1003.82,197.17,5.27
25,1025.27,201.60,5.15
26,1014.71,199.31,5.21
27,1003.20,196.97,5.27
28,1034.11,202.53,5.13
29,980.06,192.13,5.41
30,986.05,193.24,5.38
31,963.81,188.90,5.50
32,964.49,188.70,5.51
33,940.73,184.64,5.63
34,934.49,182.87,5.68
35,953.27,186.75,5.56
36,904.91,177.78,5.84
37,918.15,179.61,5.78
38,927.09,181.35,5.73
39,906.78,177.14,5.87
40,879.62,172.16,6.03
41,900.05,175.13,5.93
42,892.53,173.47,5.99
43,876.65,171.21,6.07
44,860.05,168.28,6.17
45,869.84,169.32,6.14
46,883.34,172.06,6.04
47,888.03,173.09,6.00
48,871.48,170.02,6.11
